日期,月目标,日完成,总共完成,完成百分比,差,每日需完成,抖音金额,抖音笔数,美团金额,美团笔数,备用金,今日现金支出,今日应上缴数,今日转介绍,月累计转介绍,今日现金收入,今日找回现金数,备注
2024-06-01,135000,5429,5429,4.0%,129571,4468,1103,4,0,0,252,0,0,3,3,0,0,
2024-06-02,135000,10164,15593,11.6%,119407,4265,1287,6,968,2,288,0,0,3,6,,0,有一付在保利店取
